date,company,likecount,retweetcount
1655312401000,Pfizer,16,2
1655301626000,Pfizer,18,0
1655139602000,Pfizer,34,3
1655136013000,Pfizer,18,3
1655128813000,Pfizer,26,1
1654790401000,Pfizer,30,2
1654628401000,Pfizer,58,13
1654545764000,Pfizer,30,6
1654545602000,Pfizer,77,15
1654524029000,Pfizer,25,7
1654275625000,Pfizer,31,6
1654268461000,Pfizer,51,5
1654181598000,Pfizer,48,12
1654099225000,Pfizer,72,10
1654092025000,Pfizer,24,6
1654020924000,Pfizer,38,9
1654006501000,Pfizer,51,12
1653667222000,Pfizer,42,8
1653663601000,Pfizer,34,7
1653464274000,Pfizer,12104,892
1653414858000,Pfizer,28,11
1653323433000,Pfizer,84,24
1653303445000,Pfizer,57,45
1653303445000,Pfizer,47,11
1653303444000,Pfizer,162,76
1653069602000,Pfizer,19,5
1652972401000,Pfizer,25,5
1652893201000,Pfizer,29,5
1652888547000,Pfizer,25,2
1652882427000,Pfizer,23,2
1652819366000,Pfizer,22,11
1652802567000,Pfizer,16,5
1652802554000,Pfizer,43,10
1652802538000,Pfizer,68,29
1652799601000,Pfizer,20,1
1652461200000,Pfizer,24,5
1652374802000,Pfizer,50,18
1652364823000,Pfizer,639,211
1652292013000,Pfizer,22,7
1652284800000,Pfizer,26,7
1652281862000,Pfizer,113,19
1652274002000,Pfizer,95,28
1652194816000,Pfizer,15,4
1652191201000,Pfizer,146,34
1652123166000,Pfizer,199,41
1651845619000,Pfizer,29,7
1651759204000,Pfizer,42,9
1651700322000,Pfizer,63,21
1651669216000,Pfizer,34,10
1651588202000,Pfizer,43,7
1651582803000,Pfizer,38,11
1651507202000,Pfizer,17,3
1651503600000,Pfizer,31,5
1651248949000,Pfizer,37,9
1651246381000,Pfizer,128,22
1651161966000,Pfizer,30,6
1651072265000,Pfizer,52,6
1650992402000,Pfizer,63,21
1650981612000,Pfizer,38,10
1650978015000,Pfizer,283,65
1650898816000,Pfizer,36,2
1650643216000,Pfizer,44,15
1650632403000,Pfizer,28,5
1650373216000,Pfizer,457,101
1649950445000,Pfizer,18,7
1649942748000,Pfizer,23,11
1649942719000,Pfizer,84,33
1649941216000,Pfizer,525,118
1649682002000,Pfizer,19,5
1649422803000,Pfizer,26,8
1649336401000,Pfizer,29,8
1649163616000,Pfizer,34,8
1649096425000,Pfizer,40,4
1648830312000,Pfizer,26,11
1648818002000,Pfizer,40,8
1648645221000,Pfizer,55,17
1648565686000,Pfizer,24,11
1648565659000,Pfizer,73,39
1648493853000,Pfizer,63,20
1648130242000,Pfizer,74,19
1648047608000,Pfizer,26,6
1647872878000,Pfizer,27,6
1647871201000,Pfizer,30,11
1647611100000,Pfizer,43,6
1647533660000,Pfizer,18,6
1647532311000,Pfizer,66,10
1647455985000,Pfizer,10,3
1647438984000,Pfizer,65,11
1647264602000,Pfizer,83,33
1647264601000,Pfizer,100,37
1647264601000,Pfizer,139,45
1646827386000,Pfizer,34,15
1646827360000,Pfizer,81,29
1646763405000,Pfizer,33,11
1646751901000,Pfizer,46,9
1646748009000,Pfizer,61,15
1646661601000,Pfizer,20,2
1646658001000,Pfizer,16,4
1646406017000,Pfizer,66,18
1646331984000,Pfizer,1,0
1646236800000,Pfizer,19,8
1646229610000,Pfizer,64,21
1645651801000,Pfizer,52,16
1645556400000,Pfizer,32,9
1645542003000,Pfizer,114,13
1645538413000,Pfizer,143,39
1645106419000,Pfizer,119,26
1644940802000,Pfizer,30,5
1644933612000,Pfizer,38,17
1644933611000,Pfizer,170,51
1644854720000,Pfizer,139,43
1644850805000,Pfizer,3677,4159
1644604394000,Pfizer,63,16
1644593450000,Pfizer,16,2
1644593448000,Pfizer,29,10
1644584402000,Pfizer,26,4
1644505747000,Pfizer,32,5
1644505201000,Pfizer,39,25
1644498000000,Pfizer,13,6
1644435000000,Pfizer,33,6
1644338564000,Pfizer,41,8
1644247116000,Pfizer,46,8
1643994000000,Pfizer,16,7
1643986832000,Pfizer,311,41
1643983208000,Pfizer,33,11
1643922772000,Pfizer,38,9
1643904002000,Pfizer,27,5
1643900403000,Pfizer,19,5
1643831709000,Pfizer,63,13
1643810401000,Pfizer,45,9
1643751282000,Pfizer,30,22
1643750898000,Pfizer,321,155
1643740414000,Pfizer,64,10
1643738401000,Pfizer,24,6
1643722200000,Pfizer,18,6
