date,company,likecount,retweetcount
2022-06-23,Pfizer,37,11
2022-06-22,Pfizer,30,7
2022-06-22,Pfizer,21,3
2022-06-22,Pfizer,28,10
2022-06-21,Pfizer,20,2
2022-06-21,Pfizer,21,5
2022-06-20,Pfizer,70,13
2022-06-17,Pfizer,33,11
2022-06-17,Pfizer,88,50
2022-06-16,Pfizer,20,3
2022-06-15,Pfizer,18,1
2022-06-15,Pfizer,16,2
2022-06-15,Pfizer,18,0
2022-06-13,Pfizer,34,3
2022-06-13,Pfizer,18,3
2022-06-13,Pfizer,26,1
2022-06-09,Pfizer,30,2
2022-06-07,Pfizer,58,13
2022-06-06,Pfizer,30,6
2022-06-06,Pfizer,77,15
2022-06-06,Pfizer,25,7
2022-06-03,Pfizer,31,6
2022-06-03,Pfizer,51,5
2022-06-02,Pfizer,48,12
2022-06-01,Pfizer,72,10
2022-06-01,Pfizer,24,6
2022-05-31,Pfizer,38,9
2022-05-31,Pfizer,51,12
2022-05-27,Pfizer,42,8
2022-05-27,Pfizer,34,7
2022-05-25,Pfizer,12104,892
2022-05-24,Pfizer,28,11
2022-05-23,Pfizer,84,24
2022-05-23,Pfizer,57,45
2022-05-23,Pfizer,47,11
2022-05-23,Pfizer,162,76
2022-05-20,Pfizer,19,5
2022-05-19,Pfizer,25,5
2022-05-18,Pfizer,29,5
2022-05-18,Pfizer,25,2
2022-05-18,Pfizer,23,2
2022-05-17,Pfizer,22,11
2022-05-17,Pfizer,16,5
2022-05-17,Pfizer,43,10
2022-05-17,Pfizer,68,29
2022-05-17,Pfizer,20,1
2022-05-13,Pfizer,24,5
2022-05-12,Pfizer,50,18
2022-05-12,Pfizer,639,211
2022-05-11,Pfizer,22,7
2022-05-11,Pfizer,26,7
2022-05-11,Pfizer,113,19
2022-05-11,Pfizer,95,28
2022-05-10,Pfizer,15,4
2022-05-10,Pfizer,146,34
2022-05-09,Pfizer,199,41
2022-05-06,Pfizer,29,7
2022-05-05,Pfizer,42,9
2022-05-04,Pfizer,63,21
2022-05-04,Pfizer,34,10
2022-05-03,Pfizer,43,7
2022-05-03,Pfizer,38,11
2022-05-02,Pfizer,17,3
2022-05-02,Pfizer,31,5
2022-04-29,Pfizer,37,9
2022-04-29,Pfizer,128,22
2022-04-28,Pfizer,30,6
2022-04-27,Pfizer,52,6
2022-04-26,Pfizer,63,21
2022-04-26,Pfizer,38,10
2022-04-26,Pfizer,283,65
2022-04-25,Pfizer,36,2
2022-04-22,Pfizer,44,15
2022-04-22,Pfizer,28,5
2022-04-19,Pfizer,457,101
