distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax,date
39605100,281708500,359213205,0.0,2021-05-03
40428000,285793100,366724605,0.0,2021-05-04
40783000,288781700,369897645,0.0,2021-05-05
41629900,292272440,373552725,0.0,2021-05-06
41886300,294750960,376130235,0.0,2021-05-07
42100100,296039360,380143335,0.0,2021-05-08
42107300,296043400,380145675,0.0,2021-05-09
42107300,296057800,380145675,0.0,2021-05-10
42502100,298707820,386728095,0.0,2021-05-11
42592900,301171040,390553995,0.0,2021-05-12
42838900,303940460,393559725,0.0,2021-05-13
43302000,305763220,397052175,0.0,2021-05-14
43444600,306987200,401106225,0.0,2021-05-15
43444700,306990800,401106225,0.0,2021-05-16
43448400,307033000,401164725,0.0,2021-05-17
43552200,308388180,404205555,0.0,2021-05-18
43729700,311358520,407815005,0.0,2021-05-19
44129500,315638840,410181915,0.0,2021-05-20
44353100,317602780,415157925,0.0,2021-05-21
44541500,318259300,419097315,0.0,2021-05-22
44542300,318294300,419098485,0.0,2021-05-23
44542300,318294500,419098485,0.0,2021-05-24
44718600,319357740,421697055,0.0,2021-05-25
44785500,320740880,423112755,0.0,2021-05-26
45081300,323343320,423791355,0.0,2021-05-27
45178000,323942400,426210915,0.0,2021-05-28
45516700,325546280,432235635,0.0,2021-05-29
45516700,325546240,432271905,0.0,2021-05-30
45516700,325546040,432271905,0.0,2021-05-31
45516700,325554120,432326895,0.0,2021-06-01
45548000,326066520,433663035,0.0,2021-06-02
45799000,327946540,435213285,0.0,2021-06-03
45998900,329201280,435759675,0.0,2021-06-04
46069300,330110680,439553985,0.0,2021-06-05
46069300,330204820,439553985,0.0,2021-06-06
46069300,330204820,439562175,0.0,2021-06-07
46069300,330694400,440302785,0.0,2021-06-08
46069300,331041260,440825775,0.0,2021-06-09
46060600,331689560,441065625,0.0,2021-06-10
46060200,332426360,441996945,0.0,2021-06-11
46060400,332745320,443687595,0.0,2021-06-12
46060400,332771060,443687595,0.0,2021-06-13
46060400,332771060,443748435,0.0,2021-06-14
46060400,333079940,444441075,0.0,2021-06-15
46060400,333340200,445173495,0.0,2021-06-16
46137300,337851860,446400630,0.0,2021-06-17
46137300,338397340,447327270,0.0,2021-06-18
46137300,338890700,449030790,0.0,2021-06-19
46137300,338911020,449030790,0.0,2021-06-20
46137300,338911020,449030790,0.0,2021-06-21
46137300,339286160,449832240,0.0,2021-06-22
46137300,337800940,450242910,0.0,2021-06-23
46137300,338618640,450949590,0.0,2021-06-24
46137300,338221880,452781810,0.0,2021-06-25
46137300,339196320,454245480,0.0,2021-06-26
46137300,339253020,454257180,0.0,2021-06-27
46137300,339253020,454257180,0.0,2021-06-28
46137300,339516840,455115960,0.0,2021-06-29
46137300,339760660,455115960,0.0,2021-06-30
46137300,340599400,455115960,0.0,2021-07-01
46137300,341309260,455118300,0.0,2021-07-02
46137300,342087100,455202540,0.0,2021-07-03
46137300,342089460,455202540,0.0,2021-07-04
46137300,342089460,455202540,0.0,2021-07-05
46137300,342103340,455202540,0.0,2021-07-06
46137300,342178100,455202540,0.0,2021-07-07
46137300,342875980,460155780,0.0,2021-07-08
46137300,343862920,460815840,0.0,2021-07-09
46139300,344195520,462459240,0.0,2021-07-10
46139300,344223460,462502440,0.0,2021-07-11
46139300,344223740,462502440,0.0,2021-07-12
46139300,344503560,462859290,0.0,2021-07-13
46188400,345304340,463471335,0.0,2021-07-14
46188400,346139160,463808835,0.0,2021-07-15
46188400,346894820,464706585,0.0,2021-07-16
46188400,347365860,465733035,0.0,2021-07-17
46188400,347365660,465733035,0.0,2021-07-18
46188400,347415740,465957135,0.0,2021-07-19
46188400,347874760,467217135,0.0,2021-07-20
46188400,348883280,467682885,0.0,2021-07-21
46188400,350559760,468898335,0.0,2021-07-22
46188400,351879480,471666735,0.0,2021-07-23
46188400,352726800,473130135,0.0,2021-07-24
46188400,352936900,473130135,0.0,2021-07-25
46188400,352954480,473130135,0.0,2021-07-26
46188400,353617060,473765085,0.0,2021-07-27
46188400,354425200,474960735,0.0,2021-07-28
46188400,356066340,477518985,0.0,2021-07-29
46188400,356613700,480874635,0.0,2021-07-30
46188400,357963120,482805585,0.0,2021-07-31
46188400,358057300,482805585,0.0,2021-08-01
46188400,358058180,482805585,0.0,2021-08-02
46188400,358643060,483622335,0.0,2021-08-03
46188400,359652400,484622685,0.0,2021-08-04
46188400,361080160,486127935,0.0,2021-08-05
46188400,362407920,490247235,0.0,2021-08-06
46188400,363366240,494434035,0.0,2021-08-07
46188400,363391300,494456535,0.0,2021-08-08
46188400,363507320,494456535,0.0,2021-08-09
46188400,364256120,495701235,0.0,2021-08-10
46188400,365710760,497632995,0.0,2021-08-11
46188400,367870580,501255045,0.0,2021-08-12
46188400,369086900,506443095,0.0,2021-08-13
46188400,370112720,508664295,0.0,2021-08-14
46188400,370314200,508751595,0.0,2021-08-15
46188400,370319300,508751595,0.0,2021-08-16
46188400,371551720,511128045,0.0,2021-08-17
46188400,374058760,514379295,0.0,2021-08-18
46188400,376881580,519173595,0.0,2021-08-19
46188400,378608620,525676455,0.0,2021-08-20
46188400,380298540,528996465,0.0,2021-08-21
46188400,380372260,529054965,0.0,2021-08-22
46188400,380384720,529054965,0.0,2021-08-23
46188400,380771400,529272585,0.0,2021-08-24
46188400,382486380,532294065,0.0,2021-08-25
46188400,386780780,537727815,0.0,2021-08-26
46188400,388337400,542331225,0.0,2021-08-27
46188400,388560260,546043995,0.0,2021-08-28
46188400,389891540,546051015,0.0,2021-08-29
46188400,389886400,546055695,0.0,2021-08-30
46209400,390973340,547947585,0.0,2021-08-31
46209400,392707460,551918025,0.0,2021-09-01
46209400,394900520,554086035,0.0,2021-09-02
46209400,395834440,557961075,0.0,2021-09-03
46209400,396364040,562680585,0.0,2021-09-04
46209400,396263880,562682925,0.0,2021-09-05
46209400,396253800,562682925,0.0,2021-09-06
46209400,396263800,562693455,0.0,2021-09-07
46209400,396527680,563707845,0.0,2021-09-08
46209400,398964880,566752185,0.0,2021-09-09
46209700,400022460,569685375,0.0,2021-09-10
46209700,400294620,574373565,0.0,2021-09-11
46209700,400340820,574392285,0.0,2021-09-12
46209700,400344460,574408665,0.0,2021-09-13
46209700,402572780,576561195,0.0,2021-09-14
46722300,404397420,579417165,0.0,2021-09-15
46873400,405264380,581475195,0.0,2021-09-16
