date,high,open,close,low,volume,company
2019-01-02,35.6351996348,35.3239040302,35.4304008484,34.9306862761,26430315.0,Pfizer
2019-01-03,35.5041246989,35.422205851,34.439163208,34.3654359156,28503533.0,Pfizer
2019-01-04,35.5123144605,34.7668434308,35.2255935669,34.6193855596,27145348.0,Pfizer
2019-01-07,35.7334995005,35.2829376272,35.4140090942,35.1109083854,20995469.0,Pfizer
2019-01-08,35.7990431794,35.6843547969,35.5778579712,35.3484812061,19677231.0,Pfizer
2019-01-09,35.7744581836,35.6024289374,35.5041236877,35.3894353278,20107580.0,Pfizer
2019-01-10,35.4140095773,35.4058180222,34.6603469849,34.4309702676,39731162.0,Pfizer
2019-01-11,35.1273002625,34.6767382767,35.1273002625,34.5292836629,21064506.0,Pfizer
2019-01-14,34.922489671,34.856953937,34.7094993591,34.5456583774,17605173.0,Pfizer
2019-01-15,35.422213709,34.8979244027,35.0044212341,34.7586613423,25865371.0,Pfizer
2019-01-16,35.0535688749,34.8897311508,34.4965133667,34.4309776183,30169380.0,Pfizer
2019-01-17,34.9470694175,34.3654360437,34.7914199829,34.2671340847,24177284.0,Pfizer
2019-01-18,35.1272971104,35.1109139978,34.8405761719,34.6193909774,38618455.0,Pfizer
2019-01-22,34.9716438238,34.7422670982,34.6275787354,34.3490526774,29444122.0,Pfizer
2019-01-23,34.5702412898,34.3982087284,34.5374717712,34.0377604933,24462813.0,Pfizer
2019-01-24,34.2343687322,34.2261771758,33.5462417603,33.2759039291,34394023.0,Pfizer
2019-01-25,33.7920010175,33.6691210857,33.2922897339,33.1857929146,35862455.0,Pfizer
2019-01-28,33.2021749531,33.1776002851,32.382976532,32.3420154581,39329694.0,Pfizer
2019-01-29,33.4643203842,32.3584009521,33.3987846375,32.3338262822,51376808.0,Pfizer
2019-01-30,34.2015984776,33.3987799288,34.0623321533,33.3660137069,36067880.0,Pfizer
2019-01-31,35.2192222579,34.1945418717,35.078742981,34.1697525837,40927452.0,Pfizer
2019-02-01,35.6324140083,35.425823239,35.4340896606,35.1613907754,27239681.0,Pfizer
2019-02-04,35.4010246541,35.4010246541,35.0704841614,34.6738322476,19426485.0,Pfizer
2019-02-05,35.3101286496,35.0622224397,34.7977867126,34.756471226,21127641.0,Pfizer
2019-02-06,35.0126470876,34.6407877032,34.9795913696,34.5333607728,16450410.0,Pfizer
2019-02-07,34.8308437035,34.7977879904,34.458984375,34.0540693335,24248008.0,Pfizer
2019-02-08,34.9052204964,34.318510568,34.8969573975,34.2854548497,27500125.0,Pfizer
2019-02-11,34.963056979,34.9382676882,34.4424552917,34.3019726763,27102134.0,Pfizer
2019-02-12,34.7151467759,34.4672406063,34.5994567871,34.2028082447,30540177.0,Pfizer
2019-02-13,34.7564725023,34.6407824904,34.458984375,34.2028150584,24757195.0,Pfizer
2019-02-14,34.8060514996,34.4589847825,34.6820983887,34.3928766781,19864949.0,Pfizer
2019-02-15,35.1283267006,35.020899802,35.0374259949,34.7729936192,19168993.0,Pfizer
2019-02-19,35.4175592261,34.9052172361,35.2027053833,34.8638984227,24432985.0,Pfizer
2019-02-20,35.1696466645,35.144857372,34.8721618652,34.6490449433,27354884.0,Pfizer
2019-02-21,34.9713208233,34.7234146198,34.8225784302,34.5911984209,19611883.0,Pfizer
2019-02-22,35.6406700379,34.9547963951,35.5001907349,34.8886882923,24779329.0,Pfizer
2019-02-25,35.8389892453,35.5662937755,35.5993461609,35.4836594894,25274815.0,Pfizer
2019-02-26,35.7233097039,35.5001960695,35.5497779846,35.367979844,16548959.0,Pfizer
2019-02-27,35.7150421419,35.5167178286,35.4753990173,35.3762385219,16475074.0,Pfizer
2019-02-28,36.1778009295,35.4919272933,35.822467804,35.4258158686,39002427.0,Pfizer
